Ticket Number,Date Opened,Product Category,Model Code,Ticket Status,Priority,Assigned Team,Time to Resolution (Hours),CSAT Score,Resolution Status,Contact Channel,Symptom Description,Engineer ID,SLA Violation
4123450944.0,31-05-2025,Mobile Phones,SM-S921U,,LOW,Level1 Support,,,Resolved,Phone,TV apps crashing,ENG012,Yes
4123450473.0,21-01-2025,Wearables,SM-R510,Pending,LOW,Hardware Team,Pending,,,In-person,customer canceled,N,No
4123450540.0,07/07/2025,Wearables,SM-R870,Repair completed,Meduim,Field Service,232.6,4,Closed,,washing machine making noise,ENG078,
4123451033.0,28/12/2025,Tablets,SM-T860,Delivery in Progress,Meduim,L3,Pending,,,,bluetooth connectivity,ENG012,No
4123451274.0,2025/02/07,TV/AV,QN55Q70D,Acknowledged(ASC),Low,Level2 Support,N/A,4,Cancelled,Email,no power,ENG023,N
4123451195.0,,Tablets,SM-T500,Engineer Assigned,CRITICAL,L3,,five,Fixed,In-person,watch band broken,,
4123450657.0,2025/03/14,Mobile Phones,SM-F946U,Delivery in Progress,Hgh,L1,297.9,1,Cancelled,In-person,dishwasher leaking,ENG034,Yes
4123451277.0,2025/11/01,Home Appliances,RF28R7351SR,Canceled,High,L1,171.0,,In Progress,chat,screen protector bubbling,eng045,YES
4123450661.0,2025-06-22,Mobile Phones,SM-F946U,Delivery in Progress,Low,Level2 Support,five,1,Resolved,Email,phone won't charge,eng045,Yes
4123451072.0,2026/03/02,Mobile Phones,SM-G998B,Compleated,Medium,L3,186.2,2,,In-person,phone overheating,ENG045,YES
4123451151.0,02/01/2025,Mobile Phones,SM-F721U,Repair completed,CRITICAL,L1,186.4,2,,,washing machine making noise,ENG078,Yes
4123450763.0,2025-12-04,Home Appliances,,Assigned to Service Center,CRITICAL,L3,N/A,4,Closed,Phone,remote not working,ENG012,N
4123450596.0,May 15 2025,Tablets,SM-T860,Compleated,LOW,Level3 Support,48hrs,1,Resolved,chat,dishwasher leaking,N,No
4123450605.0,Feb 08 2026,TV/AV,QN85QN900B,Repair completed,Low,L3,268.2,,Resolved,,screen protector bubbling,N,Yes
4123450959.0,06-06-2025,Tablets,SM-X910,Request,Medium,,258.0,,,Email,no power,ENG089,Yes
4123451015.0,Sep 18 2025,,RF28R6201SR,Compleated,High,Hardware Team,83.4,4,In Progress,In-person,fold screen issue,,YES
4123451041.0,Apr 27 2025,Mobile Phones,SM-S911U,Assigned to Service Center,Meduim,L2,168.3,5,Fixed,In-person,tablet won't turn on,ENG034,
4123451176.0,03-02-2025,TV/AV,QN75QN900C,Pending,Medium,Field Service,48hrs,2,,Phone,no power,,N
4123451426.0,2025-04-23,Wearables,SM-R510,Canceled,Low,Level1 Support,218.7,3,,chat,hinge issue,N,N
4123450814.0,09-05-2025,Tablets,SM-T860,Delivery in Progress,Hgh,Level3 Support,211.4,,Cancelled,In-person,battery drain,ENG034,YES
4123450800.0,08-04-2025,Wearables,SM-R920,In Progress,,L1,48hrs,,In Progress,Email,screen protector bubbling,eng045,No
4123451338.0,,Mobile Phones,SM-A546U,,,Level1 Support,261.4,3,In Progress,Phone,no power,,YES
4123451196.0,24-01-2026,Home Appliances,WA50R5400AP,In Progress,Medium,Field Service,189.0,N/A,Pending,Email,no power,ENG089,Yes
4123451161.0,2025/08/22,Wearables,SM-R920,,LOW,L2,150.9,N/A,Resolved,In-person,battery drain,ENG089,
4123450956.0,Mar 22 2025,Wearables,SM-R510,Delivery in Progress,LOW,L1,104.1,N/A,,Phone,cracked screen,N,N
4123451107.0,2025-05-09,TV/AV,QN75QN900C,Repair completed,High,L2,,4,In Progress,In-person,watch band broken,ENG078,N
4123450467.0,2025/01/20,TV/AV,QN85QN900B,Repair completed,High,L2,55.2,3,Closed,Email,refrigerator not cooling,,YES
4123450642.0,Feb 16 2026,Mobile Phones,SM-A546U,Acknowledged(ASC),Hgh,L1,246.3,5,Closed,chat,screen protector bubbling,ENG034,
4123450887.0,2026-03-27,Tablets,SM-T860,Request,High,,182.8,5,In Progress,In-person,bluetooth connectivity,N,Yes
4123450872.0,2025/02/09,,SM-R920,Canceled,Hgh,L2,N/A,3,Closed,In-person,no power,ENG034,
,Apr 10 2025,Tablets,SM-T500,Pending,Medium,L1,,N/A,Resolved,Phone,TV apps crashing,eng045,N
4123451269.0,Nov 18 2025,Home Appliances,DV50T9900V,In Progress,Low,Field Service,177.3,3,,chat,refrigerator not cooling,,Yes
,2025-07-05,Tablets,SM-T870,Engineer Assigned,CRITICAL,Level1 Support,Pending,3,,chat,,ENG012,Yes
4123451088.0,2025-08-03,Tablets,SM-T870,In Progress,CRITICAL,Level3 Support,,2,In Progress,chat,camera blurry,ENG078,No
4123450697.0,02-07-2025,Tablets,SM-T500,Acknowledged(ASC),Hgh,Level3 Support,251.1,5,Resolved,chat,cracked screen,ENG012,YES
4123451181.0,2026-01-09,Home Appliances,,Pending,Hgh,Level2 Support,N/A,4,Pending,In-person,,ENG089,N
4123450945.0,24-08-2025,TV/AV,QN55Q80C,Compleated,Meduim,Field Service,200.5,1,Fixed,Email,screen protector bubbling,,
4123451354.0,21-09-2025,Wearables,SM-R920,,LOW,Level2 Support,N/A,,Cancelled,In-person,no power,ENG078,
4123451254.0,01/02/2026,Mobile Phones,SM-N986U,,Low,Field Service,,2,In Progress,Email,screen protector bubbling,N,
4123451310.0,,Mobile Phones,SM-F946U,In Progress,CRITICAL,Level1 Support,295.0,,Closed,chat,TV apps crashing,ENG012,YES
4123451209.0,2025-05-30,Home Appliances,WF45T6000AW,Acknowledged(ASC),,L1,184.6,,In Progress,Phone,camera blurry,eng045,No
4123451083.0,11-01-2026,TV/AV,QN55Q70D,,LOW,,,,Pending,Email,hinge issue,ENG012,Yes
4123451020.0,10-02-2026,Home Appliances,RF28R6201SR,,Meduim,Hardware Team,48hrs,3,,Phone,camera blurry,ENG012,
,Mar 09 2025,Mobile Phones,SM-A546U,Repair completed,Meduim,Field Service,,5,In Progress,In-person,tablet won't turn on,ENG045,
4123451370.0,2025-07-17,Wearables,SM-R920,Delivery in Progress,Meduim,Field Service,five,5,,chat,washing machine making noise,ENG078,YES
4123450916.0,16-03-2026,,SM-T870,,Medium,L3,five,N/A,Pending,In-person,bluetooth connectivity,ENG012,N
4123450861.0,16/07/2025,Mobile Phones,SM-F946U,Request,LOW,Level3 Support,N/A,2,Closed,chat,screen flickering,ENG034,N
4123450879.0,Jan 17 2026,Mobile Phones,SM-F946U,Closed,Hgh,Field Service,N/A,five,,Phone,phone won't charge,ENG045,No
4123450613.0,2025-08-17,Tablets,SM-T500,Repair completed,CRITICAL,L1,Pending,,Resolved,Phone,washing machine making noise,ENG089,No
4123451293.0,2026/01/23,Tablets,SM-T970,Acknowledged(ASC),Hgh,Hardware Team,-4.2,,In Progress,Phone,charging port loose,ENG012,No
4123450511.0,,Mobile Phones,SM-N986U,Engineer Assigned,,,65.1,4,,Phone,watch band broken,,YES
4123450638.0,2025-04-13,Home Appliances,DVE50R5400V,Compleated,Low,Level1 Support,103.5,4,Fixed,Phone,cracked screen,ENG034,
4123451151.0,Mar 25 2025,Wearables,SM-R870,In Progress,Meduim,Field Service,N/A,five,Pending,In-person,camera blurry,ENG034,YES
4123450594.0,13-08-2025,TV/AV,,Closed,LOW,L2,212.7,five,,chat,TV apps crashing,ENG034,
4123451384.0,Jun 02 2025,TV/AV,,Repair completed,LOW,,139.5,,Closed,In-person,remote not working,,YES
4123451115.0,2025-02-19,Home Appliances,DV50T9900V,Engineer Assigned,High,Level3 Support,,5,Fixed,Phone,phone overheating,ENG023,
4123451042.0,,TV/AV,,Engineer Assigned,LOW,Level3 Support,five,1,Resolved,Phone,screen protector bubbling,ENG078,Yes
4123451077.0,30/12/2025,Wearables,SM-R870,Compleated,Medium,L3,48hrs,five,Resolved,In-person,bluetooth connectivity,eng045,No
4123450521.0,2025-04-01,Home Appliances,WA50R5400AP,Delivery in Progress,Meduim,L2,,,Resolved,chat,phone won't charge,eng045,
4123450754.0,05/07/2025,Home Appliances,WF45T6000AW,Compleated,High,L1,64.8,,Resolved,chat,no power,ENG012,YES
4123450862.0,,Tablets,SM-X910,Delivery in Progress,Meduim,L3,202.7,4,Resolved,In-person,fold screen issue,ENG012,N
4123450752.0,2026/02/16,TV/AV,QN75QN900C,Compleated,LOW,Level1 Support,five,1,,Phone,,ENG012,N
4123451229.0,08/09/2025,TV/AV,QN55Q70D,In Progress,Medium,Level1 Support,125.8,2,,In-person,no power,eng045,YES
4123450730.0,20-05-2025,Wearables,SM-R920,Compleated,Hgh,Hardware Team,N/A,five,Resolved,,watch band broken,ENG012,Yes
4123450539.0,14-03-2025,TV/AV,QN55Q80C,,Low,L1,291.0,1,Closed,Phone,washing machine making noise,ENG078,No
4123450978.0,18/01/2025,Tablets,SM-T500,Request,Medium,Hardware Team,68.1,3,Pending,Email,no power,,
4123451251.0,15/11/2025,Tablets,SM-X910,Pending,High,Level1 Support,123.4,2,Closed,In-person,camera blurry,ENG034,N
4123450883.0,2025/06/30,TV/AV,QA65QN900A,Pending,Hgh,Level2 Support,N/A,1,Fixed,Phone,charging port loose,N,No
4123451254.0,2026/02/10,Tablets,SM-T860,,Meduim,Level3 Support,243.0,3,,Phone,fold screen issue,ENG034,
4123451383.0,2026-03-11,Home Appliances,WF45T6000AW,Request,Hgh,Hardware Team,,4,Cancelled,chat,,eng045,
4123451043.0,Dec 11 2025,Tablets,SM-T970,,LOW,L2,0.9,2,Closed,chat,phone won't charge,ENG045,Yes
4123450841.0,11-01-2025,TV/AV,QA65QN900A,Acknowledged(ASC),CRITICAL,L2,110.4,,In Progress,Email,bluetooth connectivity,ENG045,N
4123451002.0,19/02/2026,Tablets,,Closed,LOW,L2,,5,In Progress,Phone,customer canceled,N,
4123450840.0,12-01-2025,TV/AV,,Pending,LOW,Level1 Support,-1.1,2,Closed,chat,fold screen issue,N,Yes
4123451232.0,2025/01/20,Home Appliances,RF28R6201SR,Acknowledged(ASC),Meduim,,38.3,3,Cancelled,Phone,,ENG089,N
4123451089.0,30/06/2025,Home Appliances,RF28R7351SR,,Hgh,Level3 Support,Pending,4,In Progress,In-person,fold screen issue,,Yes
4123451199.0,18-08-2025,Tablets,SM-T870,Request,,L3,,2,Closed,chat,phone overheating,,N
4123450495.0,17/03/2025,TV/AV,QN65Q800C,Delivery in Progress,,,180.0,1,,Email,phone won't charge,,N
4123450526.0,Jan 26 2026,TV/AV,QA65QN900A,Repair completed,LOW,L3,199.6,3,Fixed,Email,refrigerator not cooling,ENG012,N
,05/09/2025,Home Appliances,DVE50R5400V,,CRITICAL,Field Service,8.5,2,,chat,fold screen issue,N,N
4123451274.0,2025/02/07,TV/AV,QN55Q70D,Acknowledged(ASC),Low,Level2 Support,N/A,4,Cancelled,Email,no power,ENG023,N
4123451277.0,2025/11/01,Home Appliances,RF28R7351SR,Canceled,High,L1,171.0,,In Progress,chat,screen protector bubbling,eng045,YES
4123450715.0,2026/02/17,,SM-R870,Compleated,Medium,Level3 Support,198.3,N/A,Pending,chat,phone won't charge,N,YES
